stage,candidate_id,fold_ids,epochs,auc,config
1,1,1,60,0.755581290180725,"{""lr"": 0.0005, ""numk"": 3, ""pd_weight"": 1.0, ""rd"": 0.25}"
1,2,1,60,0.757273575153339,"{""lr"": 0.0005, ""numk"": 5, ""pd_weight"": 1.0, ""rd"": 0.25}"
1,3,1,60,0.7647170719060636,"{""lr"": 0.001, ""numk"": 5, ""pd_weight"": 1.0, ""rd"": 0.25}"
1,4,1,60,0.7611598565226095,"{""lr"": 0.001, ""numk"": 5, ""pd_weight"": 1.5, ""rd"": 0.5}"
1,5,1,60,0.7608723897911833,"{""lr"": 0.001, ""numk"": 7, ""pd_weight"": 1.5, ""rd"": 0.5}"
1,6,1,60,0.7502746876610101,"{""lr"": 0.0005, ""numk"": 7, ""pd_weight"": 2.0, ""rd"": 0.5}"
2,1,"1,2",120,0.7863942750948525,"{""lr"": 0.001, ""numk"": 5, ""pd_weight"": 1.0, ""rd"": 0.25}"
2,2,"1,2",120,0.7811950887922915,"{""lr"": 0.001, ""numk"": 5, ""pd_weight"": 1.5, ""rd"": 0.5}"
2,3,"1,2",120,0.7818680472814827,"{""lr"": 0.001, ""numk"": 7, ""pd_weight"": 1.5, ""rd"": 0.5}"
