stage,candidate_id,fold_ids,epochs,auc,config
1,1,1,60,0.9029277223078213,"{""lr"": 0.0005, ""numk"": 3, ""pd_weight"": 1.0, ""rd"": 0.25}"
1,2,1,60,0.903000727356882,"{""lr"": 0.0005, ""numk"": 5, ""pd_weight"": 1.0, ""rd"": 0.25}"
1,3,1,60,0.9059045950961031,"{""lr"": 0.001, ""numk"": 5, ""pd_weight"": 1.0, ""rd"": 0.25}"
1,4,1,60,0.9017711775210956,"{""lr"": 0.001, ""numk"": 5, ""pd_weight"": 1.5, ""rd"": 0.5}"
1,5,1,60,0.9020334367176366,"{""lr"": 0.001, ""numk"": 7, ""pd_weight"": 1.5, ""rd"": 0.5}"
1,6,1,60,0.894539310866701,"{""lr"": 0.0005, ""numk"": 7, ""pd_weight"": 2.0, ""rd"": 0.5}"
2,1,"1,2",120,0.9150397360360859,"{""lr"": 0.001, ""numk"": 5, ""pd_weight"": 1.0, ""rd"": 0.25}"
2,2,"1,2",120,0.913561142205658,"{""lr"": 0.0005, ""numk"": 5, ""pd_weight"": 1.0, ""rd"": 0.25}"
2,3,"1,2",120,0.9136342017417942,"{""lr"": 0.0005, ""numk"": 3, ""pd_weight"": 1.0, ""rd"": 0.25}"
