fold,best_val_auc,auc,aupr,f1,acc
1,0.9295714649243695,0.934333305174243,0.913762466664656,0.8281956223655477,0.8558339725560385
2,0.9340480202342163,0.9366234230025747,0.9142133016568277,0.8309617519426784,0.8572402625074576
3,0.9337955763951471,0.9352530382051256,0.9151130867518988,0.8315120206636201,0.8554504389329243
4,0.9361810403778565,0.9362769671363056,0.9152500023500869,0.8276867397205188,0.8539163044404671
5,0.9357026385718029,0.9363800028133116,0.9173787782060057,0.8332141032192131,0.8609051393505497
