fold,best_val_auc,auc,aupr,f1,acc
1,0.8748653472071061,0.8717599554655003,0.8191277651394182,0.7618073633320938,0.7851121828475571
2,0.8665063624857441,0.857886397472955,0.7750825260819967,0.758257981177339,0.7747689662583279
3,0.8581034142259614,0.8528706169558535,0.7685146429081531,0.7402609419820487,0.7606786597322875
4,0.8407941833053109,0.8366715144302633,0.7351590971984885,0.7450182231268045,0.7631359099503143
5,0.8738474843149885,0.8601216401403642,0.7914159355696928,0.7522273699215966,0.7684333236188018
