Model,Dataset,AUC,AUPR,F1,ACC
GraphCDR,dataset-1,0.5730 +/- 0.0526,0.1349 +/- 0.0085,0.2397 +/- 0.0221,0.5252 +/- 0.2029
RedCDR,dataset-1,0.4900 +/- 0.0291,0.1142 +/- 0.0285,0.2024 +/- 0.0210,0.1431 +/- 0.0330
SOULCDR,dataset-1,0.6444 +/- 0.0324,0.1847 +/- 0.0298,0.2994 +/- 0.0398,0.7360 +/- 0.1793
GraphCDR,dataset-2,0.5265 +/- 0.0479,0.4437 +/- 0.0381,0.5814 +/- 0.0369,0.4271 +/- 0.0486
RedCDR,dataset-2,0.5245 +/- 0.0493,0.4174 +/- 0.0612,0.5814 +/- 0.0382,0.4322 +/- 0.0630
SOULCDR,dataset-2,0.5811 +/- 0.0173,0.5035 +/- 0.0597,0.5869 +/- 0.0324,0.4399 +/- 0.0233
