Model,Dataset,AUC_mean,AUC_std,AUPR_mean,AUPR_std,F1_mean,F1_std,ACC_mean,ACC_std
GraphCDR,dataset-1,0.5847872282076202,0.019181484412539633,0.13876023752786484,0.007799467908378328,0.22922028168391645,0.012244307477725013,0.6112064892238094,0.07246919236553606
RedCDR,dataset-1,0.5412172436226448,0.02168952240926074,0.13044532753819696,0.01772507478752197,0.2045529738058637,0.011034832455828338,0.34406102883411405,0.15446981656168848
SOULCDR,dataset-1,0.6768389158706583,0.024510430844373363,0.24232695458290116,0.02021386547465965,0.2845724908472223,0.016367274278817935,0.7462756549838373,0.07270264751310207
GraphCDR,dataset-2,0.7156901871413461,0.020049658309905453,0.5847204867732467,0.03237022153698939,0.6449343399515357,0.008805670240567373,0.6335543239855822,0.019972113222762558
RedCDR,dataset-2,0.8558620248929873,0.011421127931626722,0.7778599933795498,0.02758698602375794,0.7515143759079764,0.008009618451424737,0.7704258084814578,0.00879399950826402
SOULCDR,dataset-2,0.8964719806974693,0.00411166391482219,0.8499013490132465,0.00935280551293897,0.7835799626280471,0.007216427292864451,0.8081749711756652,0.005410125878489357
