Model,Dataset,AUC,AUPR,F1,ACC
GraphCDR,dataset-1,0.5848 +/- 0.0192,0.1388 +/- 0.0078,0.2292 +/- 0.0122,0.6112 +/- 0.0725
RedCDR,dataset-1,0.5412 +/- 0.0217,0.1304 +/- 0.0177,0.2046 +/- 0.0110,0.3441 +/- 0.1545
SOULCDR,dataset-1,0.6768 +/- 0.0245,0.2423 +/- 0.0202,0.2846 +/- 0.0164,0.7463 +/- 0.0727
GraphCDR,dataset-2,0.7157 +/- 0.0200,0.5847 +/- 0.0324,0.6449 +/- 0.0088,0.6336 +/- 0.0200
RedCDR,dataset-2,0.8559 +/- 0.0114,0.7779 +/- 0.0276,0.7515 +/- 0.0080,0.7704 +/- 0.0088
SOULCDR,dataset-2,0.8965 +/- 0.0041,0.8499 +/- 0.0094,0.7836 +/- 0.0072,0.8082 +/- 0.0054
