Model,Dataset,AUC_mean,AUC_std,AUPR_mean,AUPR_std,F1_mean,F1_std,ACC_mean,ACC_std
GraphCDR,dataset-1,0.5729783717792467,0.0526338866082044,0.13494516836410292,0.008462103999538463,0.23972115112291453,0.02212988971717313,0.5251749117109855,0.20290385757906945
RedCDR,dataset-1,0.48997947362212485,0.029140285567151303,0.11417511323474801,0.02853086477779852,0.20237683399694822,0.02102220451074281,0.1431176655696194,0.03301674208881354
SOULCDR,dataset-1,0.6444303677516425,0.03237268715999685,0.18474843438804794,0.029759755020848502,0.29943017804683747,0.03981989775435649,0.7359702041765722,0.17925932529953556
GraphCDR,dataset-2,0.5264803846798154,0.047911709944900786,0.4436703204622465,0.03813894821763482,0.5814463018206772,0.03694739731412681,0.4271230241798949,0.04857311040664407
RedCDR,dataset-2,0.5245483518605598,0.049254087406455795,0.4173603672354481,0.06119986890687452,0.5814345031228502,0.03822520731615908,0.43221059541293805,0.06300754597739566
SOULCDR,dataset-2,0.5810584849734506,0.017336844037065105,0.5035239714515942,0.05966166374531083,0.5869398492225171,0.03241293048344011,0.43994810055480443,0.023294180207715613
