Model,Dataset,AUC,AUPR,F1,ACC
GraphCDR,dataset-1,0.8309 +/- 0.0045,0.4733 +/- 0.0098,0.4702 +/- 0.0078,0.8714 +/- 0.0062
RedCDR,dataset-1,0.8355 +/- 0.0027,0.4914 +/- 0.0061,0.4808 +/- 0.0030,0.8825 +/- 0.0025
SOULCDR,dataset-1,0.8316 +/- 0.0024,0.4774 +/- 0.0072,0.4673 +/- 0.0050,0.8708 +/- 0.0100
GraphCDR,dataset-2,0.9252 +/- 0.0010,0.8985 +/- 0.0021,0.8181 +/- 0.0018,0.8452 +/- 0.0017
RedCDR,dataset-2,0.9358 +/- 0.0009,0.9151 +/- 0.0012,0.8303 +/- 0.0021,0.8567 +/- 0.0024
SOULCDR,dataset-2,0.9335 +/- 0.0016,0.9123 +/- 0.0019,0.8278 +/- 0.0028,0.8552 +/- 0.0039
