Model,Dataset,AUC_mean,AUC_std,AUPR_mean,AUPR_std,F1_mean,F1_std,ACC_mean,ACC_std
GraphCDR,dataset-1,0.5961335067875794,0.02837744786266881,0.22738725681080077,0.04909946088244912,0.2526786909712596,0.029254023972991986,0.7045930385471886,0.14683994185790486
RedCDR,dataset-1,0.7023934588415651,0.02698624768207407,0.2474943616146465,0.011912636723084792,0.31524191844311966,0.013344470932824964,0.797076191864911,0.022244359516225602
SOULCDR,dataset-1,0.7164565036271476,0.01645081139901592,0.2599257860584747,0.021091007699325006,0.32180036634935233,0.019321654552745964,0.7990180204723296,0.02682597086589446
GraphCDR,dataset-2,0.5223185351096136,0.056543418669462386,0.45817537248319073,0.07451529064796736,0.5798516533375068,0.03338301686637401,0.41623137771014324,0.020434953195573712
RedCDR,dataset-2,0.5252267772350435,0.045640016245327555,0.4329096042813706,0.07566882823204141,0.5847441046935782,0.028723606918474986,0.4271856321750458,0.016437017750562853
SOULCDR,dataset-2,0.6167550110914132,0.018272158437960064,0.5238497224462033,0.04921328971506894,0.5868546215052038,0.036609241115237105,0.4660382216963896,0.06519352571966318
