fold,best_val_auc,auc,aupr,f1,acc
1,0.6902086227205089,0.47764026895016976,0.4204116354310383,0.5186894323950162,0.35150259067357514
2,0.7239857637889837,0.5932847481667662,0.5075675493988616,0.6159548751007252,0.49799873604381717
3,0.5574688563137883,0.5555910149666514,0.4240152363355676,0.5602400126322438,0.4024887363226775
4,0.6066580086580087,0.5395081545092439,0.4651363708181406,0.6027312228429547,0.44468546637744033
5,0.6567538249932646,0.46637773680624606,0.4012208103276243,0.6096159661324463,0.4389395914819644
