stage,candidate_id,fold_ids,epochs,auc,config
1,1,1,60,0.8751629154939247,"{""alpha"": 0.2, ""beta"": 0.2}"
1,2,1,60,0.8756870924964892,"{""alpha"": 0.2, ""beta"": 0.3}"
1,3,1,60,0.875509171763871,"{""alpha"": 0.3, ""beta"": 0.2}"
1,4,1,60,0.8750665120640319,"{""alpha"": 0.3, ""beta"": 0.3}"
1,5,1,60,0.8704109395687539,"{""alpha"": 0.3, ""beta"": 0.4}"
1,6,1,60,0.8722936444948083,"{""alpha"": 0.4, ""beta"": 0.3}"
2,1,"1,2",120,0.8935097600543266,"{""alpha"": 0.2, ""beta"": 0.3}"
2,2,"1,2",120,0.8923963535789154,"{""alpha"": 0.3, ""beta"": 0.2}"
2,3,"1,2",120,0.8868125863256595,"{""alpha"": 0.2, ""beta"": 0.2}"
