fold,best_val_auc,auc,aupr,f1,acc
1,0.7054707396260143,0.7374711678479275,0.6320194676509063,0.6551336029013298,0.6530509540784232
2,0.7437261612893535,0.7207266128064983,0.5872988207641197,0.6540827147401909,0.6494734579840963
3,0.7608183385436926,0.7329076307173781,0.6060696524001661,0.638704676599776,0.6423395003836644
4,0.7433098168270021,0.7047224888483319,0.5478984912390777,0.6445044670683565,0.6238403025106626
5,0.7272634324407833,0.6826230354865952,0.5503160018119635,0.6322462384480256,0.5990674049710646
