stage,candidate_id,fold_ids,epochs,auc,config
1,1,1,60,0.7408643823613384,"{""alpha"": 0.2, ""beta"": 0.2}"
1,2,1,60,0.7374215419553225,"{""alpha"": 0.2, ""beta"": 0.3}"
1,3,1,60,0.7374068529159843,"{""alpha"": 0.3, ""beta"": 0.2}"
1,4,1,60,0.7321577332410072,"{""alpha"": 0.3, ""beta"": 0.3}"
1,5,1,60,0.7312260359612361,"{""alpha"": 0.3, ""beta"": 0.4}"
1,6,1,60,0.7312259965804336,"{""alpha"": 0.4, ""beta"": 0.3}"
2,1,"1,2",120,0.8114664311222215,"{""alpha"": 0.2, ""beta"": 0.2}"
2,2,"1,2",120,0.8042203740288176,"{""alpha"": 0.2, ""beta"": 0.3}"
2,3,"1,2",120,0.805144085979791,"{""alpha"": 0.3, ""beta"": 0.2}"
