fold,best_val_auc,auc,aupr,f1,acc
1,0.8344178198959217,0.8233386913102978,0.46300622838729366,0.4584251652975356,0.8636913767019667
2,0.8294347879428081,0.8371780377435608,0.46366289955172973,0.4656019656019656,0.8683812405446294
3,0.8206858097448623,0.8324890191920665,0.47546335930998807,0.46959690275563654,0.8825457663018811
4,0.8395132923771175,0.8322614373927282,0.4742576730395336,0.4788961038961039,0.8704927126935297
5,0.8379170256603975,0.8293246833780005,0.48996473430752363,0.47830557269175406,0.8720560794795501
