fold,best_val_auc,auc,aupr,f1,acc
1,0.7339295220209414,0.4789444982427644,0.32268347956686494,0.5311505528033857,0.3976142303152925
2,0.7538957982622465,0.5076729036370083,0.43257152683683764,0.6021536840873178,0.4317003845510784
3,0.7335030770353814,0.48021478722903643,0.3888239468785909,0.5789374882673174,0.42294828916902494
4,0.7442450050454347,0.5769278658194865,0.47433808406903966,0.6015834311689093,0.44395428955549954
5,0.7335449773300559,0.582373831246922,0.5461309840555197,0.6098953671409612,0.43971096728433373
