dataset,variant,local_layers,global_layers,folds,auc_mean,auc_std,aupr_mean,aupr_std,parameter_count,best_epoch_mean
dataset-1,local_only,2,0,5,0.9138562734774025,0.006602908294985421,0.8722127588621987,0.01176528463666434,12173766,95.4
dataset-1,hgt_2_only,0,2,5,0.9168206296621495,0.0061203333276258634,0.8748804795119446,0.01105710867927548,12636130,64.6
dataset-1,hgt_2,2,2,5,0.9144132672233318,0.004278670923027447,0.8711201891201712,0.009353522217516315,13555940,64.0
dataset-1,hgt_3,2,3,5,0.9182200606386525,0.0051174342519548464,0.8761574199796229,0.008608673655761758,14181106,41.8
dataset-2,local_only,2,0,5,0.9296175966007404,0.0009968413078885663,0.9065416515707676,0.0018388442965857927,40715206,385.6
dataset-2,hgt_2_only,0,2,5,0.9357382182039871,0.0013023310887742918,0.9154009295431091,0.002010658824687178,41177570,391.6
dataset-2,hgt_2,2,2,5,0.9357605591790676,0.0008613802454381472,0.9153996556816054,0.001565070625165486,42097380,382.0
dataset-2,hgt_3,2,3,5,0.9336426225960928,0.0014883557430131478,0.9125181910379373,0.0015766122145601273,42722546,397.2
