fold,best_val_auc,auc,aupr,f1,acc
1,0.742141984999128,0.6267290816165508,0.15945533254660135,0.26071741032370954,0.7949029126213593
2,0.7118686188829292,0.6945071180844702,0.24208646274408682,0.3709923664122137,0.8071612450269132
3,0.627461184838234,0.6021612502190585,0.1681910911598174,0.2686478454680535,0.3801007556675063
4,0.6257775189283634,0.63229917594613,0.16969894752875475,0.2850061957868649,0.8473141042603863
5,0.6078554360812425,0.6664552128920027,0.18431033796097934,0.311787072243346,0.850372003306696
