fold,best_val_auc,auc,aupr,f1,acc
1,0.670697465710713,0.47727314788935604,0.3296192005378741,0.5174373943770164,0.3490155440414508
2,0.7349944331160789,0.5712144087823252,0.47923337369430086,0.6195970380575168,0.5346534653465347
3,0.7082093005803483,0.49879793566104813,0.37614483473290594,0.558254680488937,0.38747049989272686
4,0.7334337662337663,0.5956360890277914,0.4912228502206857,0.6031746031746031,0.4522776572668113
5,0.7869063993307148,0.4798201779422777,0.4105815769914738,0.6087087995161778,0.43763581051716643
