fold,best_val_auc,auc,aupr,f1,acc
1,0.6412138453471294,0.645530138781997,0.19961549604852816,0.2807794508414526,0.8006016330038677
2,0.6490291720499198,0.6540788381398572,0.20256452011914988,0.2972919549318047,0.7817545582908711
3,0.6318268587361162,0.6487167484656775,0.194040071123595,0.282793867120954,0.7673890355454601
4,0.6597892272588867,0.6633917813306002,0.2152721830195773,0.2925039315044557,0.7514273436061145
5,0.6337855689008585,0.6188622380426598,0.16920828216000036,0.2702587128501176,0.7904592337917485
