fold,best_val_auc,auc,aupr,f1,acc
1,0.6554810209219072,0.5736059577477212,0.12953691021110658,0.21639864999007347,0.6108454523046586
2,0.5946967575167519,0.5925482975875235,0.15237927111191163,0.2407620298899655,0.5427073544685692
3,0.5930135850835536,0.5543404458045365,0.13882462740610751,0.2178491282582427,0.5393452623017487
4,0.6210402282575933,0.5929486372288731,0.13309069233752868,0.22453031923018177,0.7385819473765511
5,0.5546440877406701,0.6104928026694466,0.1399696865726698,0.24656128105111888,0.6245524296675192
