fold,best_val_auc,test_auc,test_aupr,test_f1,test_acc,checkpoint,history_csv,predictions_npz
1,0.9291547979475265,0.9265353605428799,0.9033016815109052,0.8175910115242004,0.8461397886276245,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_7omics_ge_chrom_meth_tmp_pathway_20260316_183802/fold_1_best.pt,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_7omics_ge_chrom_meth_tmp_pathway_20260316_183802/fold_1_history.csv,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_7omics_ge_chrom_meth_tmp_pathway_20260316_183802/fold_1_test_predictions.npz
2,0.926791076493452,0.9273013611321661,0.9010940398499852,0.8195757865905762,0.8457216024398804,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_7omics_ge_chrom_meth_tmp_pathway_20260316_183802/fold_2_best.pt,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_7omics_ge_chrom_meth_tmp_pathway_20260316_183802/fold_2_history.csv,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_7omics_ge_chrom_meth_tmp_pathway_20260316_183802/fold_2_test_predictions.npz
3,0.9284780015494304,0.9254987722668782,0.8973868454654228,0.8151969313621521,0.842889130115509,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_7omics_ge_chrom_meth_tmp_pathway_20260316_183802/fold_3_best.pt,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_7omics_ge_chrom_meth_tmp_pathway_20260316_183802/fold_3_history.csv,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_7omics_ge_chrom_meth_tmp_pathway_20260316_183802/fold_3_test_predictions.npz
4,0.9273354369152461,0.9280915413270101,0.9018015266482442,0.8206900358200073,0.8459043502807617,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_7omics_ge_chrom_meth_tmp_pathway_20260316_183802/fold_4_best.pt,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_7omics_ge_chrom_meth_tmp_pathway_20260316_183802/fold_4_history.csv,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_7omics_ge_chrom_meth_tmp_pathway_20260316_183802/fold_4_test_predictions.npz
5,0.9256443020511286,0.9260506373748014,0.9009123358230459,0.8207111954689026,0.8454474806785583,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_7omics_ge_chrom_meth_tmp_pathway_20260316_183802/fold_5_best.pt,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_7omics_ge_chrom_meth_tmp_pathway_20260316_183802/fold_5_history.csv,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_7omics_ge_chrom_meth_tmp_pathway_20260316_183802/fold_5_test_predictions.npz
