fold,best_val_auc,auc,aupr,f1,acc
1,0.737477885633459,0.5918097046710071,0.4460120573487967,0.519163763066202,0.3601416287303996
2,0.7514966703835845,0.6063706372344794,0.5557075576483789,0.6019650271945728,0.43103160006687846
3,0.64156325553257,0.6098694716069332,0.4947911094088433,0.5827061026891409,0.49365406054369265
4,0.5967077303811155,0.6384880381688238,0.5876018307225952,0.6037189402665789,0.49411814133266113
5,0.714007345279201,0.6372372037758222,0.5351360571024023,0.6267192743095247,0.5512456778083163
