pubchem_cid,WPath,ECIndex,Radius,Diameter,ATS8i,ATS8v,ATS7v,ATS7i,ATS6v,ATS6i,ATS5v,ATS5i,ATS4v,ATS4i,ATS3v,ATS3i,ATS2v,ATS2i,ATS7m,ATS8m,ATS1v,ATS6m,ATS5m,ATS4m,ATS0v,ATS3m,ATS0m,ATS0i,ATS1i,ATSC0m,ATS2m,ATS1m,ATS8Z,ATS7Z,ATS6Z,ATS5Z,ATS4Z,ATS3Z,ATSC0v,ATS2Z,TMPC10,ATS0Z,ATS8pe,ATS8are,ATSC7v,ATS7pe,ATS7are,ATSC8v,ATSC6m,ATSC6v,ATSC5m,ATS6pe,ATSC5v,ATS6are,ATSC7m,ATSC8m,ATSC4m,ATS5pe,ATS1Z,ATSC4v,ATS5are,ATSC0Z,ATSC3m
992586,-0.15851498847994566,-0.1839799341563467,-0.20226000014403953,-0.20226006143290073,-0.46484797347350826,-0.30841289212685963,-0.3255401623248214,-0.516062466538296,-0.321192459069224,-0.5615393775088551,-0.37105664368093877,-0.594542386783785,-0.4087497202960162,-0.6975221183903353,-0.3598145741156007,-0.7128010074669252,-0.37576220917471664,-0.8031036936541404,-0.0704694154918984,0.029406759478672957,-0.3700892856893592,0.530167865022611,0.3633722559789475,0.03941831011571391,-0.2726847017073315,0.4055095865540092,1.2894545303427372,-0.7058391143772015,-0.7095992219676405,1.130559734488453,0.34689287302870936,0.3955702694156915,-0.04648771672426786,-0.12253000987755971,0.35286702785926527,0.2266133801802043,-0.02081074112892303,0.2895241049245698,-0.5410512970783783,0.21714839536177313,-0.4153577958517159,1.3703782243582932,-0.41178253157818884,-0.4142195817587634,0.35810247310274734,-0.4528733667109947,-0.4556725507739272,0.04552754491752204,1.6130731361097208,0.37429807493505807,2.616409347948163,-0.47321859490998913,0.40606551681894393,-0.47784044188069236,-0.9800304596110742,0.3357703634681327,-3.0265061349644733,-0.5142203964331804,0.2940998712856947,-0.922218271300301,-0.5167723640465313,1.3196133581284113,-2.351490151963856
2984337,-0.15851199447759803,-0.18397932570617834,-0.20225989721618584,-0.20225985557717854,-0.026231699309353065,0.09332465642797039,0.042575339855281974,-0.1280102299706984,0.12639572049535325,-0.03776697020248348,0.3094125170214499,-0.0011262980585692878,0.38645667351394086,-0.062884098635931,0.452329887979577,-0.00858545508911687,0.5026877178620487,0.07651959346481313,0.0804724020094908,0.1617254044526184,0.5433503706042485,0.21050034646986532,0.3934474874810334,0.49139411943533734,0.5922248408150229,0.5433151212707489,0.06679240231821211,0.11566544126984507,0.2121305120346177,-0.14748130058530742,0.54269793494323,0.5367495117403241,0.13255752731482554,0.0661533517948337,0.21359853188779943,0.37255930885501504,0.4453433224421934,0.47842046060633636,0.19620491058135317,0.5183345622576656,0.45099005751660554,0.17465589584798488,-0.02966082515968097,-0.034221658748054135,-0.7742448924938925,-0.11196857364538629,-0.11885989943961844,0.6497112806838581,-1.1938410492676936,-1.1060881808102498,-1.1862433876164737,-0.009136162997685644,-1.2769010884840097,-0.014636727950307862,0.26883746563090194,1.6329545739512814,-0.7496656075445743,0.060786401860947484,0.5180335676130493,-0.422824792006524,0.054731241616129106,-0.12311550175567951,1.0937084389125995
11178236,2.3740056498255466,5.951651438823542,4.944132324730405,4.944132324730295,-0.15313674836011074,-0.2871636385839591,-0.18153552595225228,-0.22778776673362464,-0.1376522048567383,-0.19637057081087797,-0.15684946105065917,-0.23101053018128678,-0.17998508318870338,-0.4008920039986965,-0.2946818914765921,-0.4879266484545645,-0.38222545368463773,-0.3702681978399444,-0.280699586786939,-0.41271977466650006,-0.39246570920530266,-0.2036163774032687,-0.1464956531751864,-0.1962448402522554,-0.2507327025878612,-0.32229841479782934,0.9177269332685171,-0.3992684847381551,-0.41103668717151776,0.9886123879682092,-0.49340609700156224,-0.4963873062679226,-0.3777750245570814,-0.2605384115579389,-0.18879609786582124,-0.16298286456677996,-0.22020218729875823,-0.35160293279193466,-0.3204252682153623,-0.48735627184107577,0.13086669050970642,0.8769055173540389,-0.18844329349173355,-0.18661721344315152,-1.3979711746984518,-0.2063214823462001,-0.20620694945806486,0.14882934320246438,-0.9533818599353754,-0.57295611472475,0.7390356401323277,-0.1552509469180955,0.4513508066611775,-0.15159979240249538,-0.6502661854913023,1.4169845015868026,0.022229284870225508,-0.20177819081528262,-0.4961588976376509,-1.023420900352384,-0.19924840764414023,1.078240449841031,0.13445445654552274
135691163,-0.15851535053662053,-0.18397998528661294,-0.20226000014403953,-0.20226006143290073,-0.32303842378209074,-0.4136084400933275,-0.40294300794589205,-0.4726657714667489,-0.5247730032021433,-0.625778852737213,-0.6813928476571814,-0.6245710645970827,-0.6866096430831308,-0.439568723005817,-0.6062526946916825,-0.3472363818623645,-0.5556545252533565,-0.4798287534066952,-0.3999916384230872,-0.4762034232242104,-0.5422497475275195,-0.4989120635530331,-0.6577630963554317,-0.6862436170180919,-0.5732741430826076,-0.5346361308789236,-0.40201583913328387,-0.46277174085401446,-0.47843166653016406,-0.24305072453405058,-0.544061037037149,-0.5699616060187941,-0.4469272295901444,-0.3920776694095503,-0.5015794412771463,-0.6392917531289237,-0.6455252380023316,-0.5244911227379583,-0.3931989492442941,-0.5227899385347102,-0.700782476225,-0.45641977753245555,-0.3500910443806652,-0.35049678523948996,-0.7696655787300443,-0.45994624648210336,-0.4631393299940704,-0.27047104127433946,-0.3965862241350086,0.2480440466325421,-0.7449040455150172,-0.6114091600571889,0.5470684250612708,-0.6133138168676495,-0.5287470899745074,0.04491194825540607,-0.35527352952816216,-0.6445050113941088,-0.5529536756916902,0.21046957958156237,-0.6424432287028032,-0.24273281846972874,1.4688173023275524
71297207,-0.15851027048752445,-0.18397889416673122,-0.2022597428244053,-0.20225954679359523,0.02412142191696746,0.46910553573904407,0.3188687161837105,0.007924498275289831,0.2043822402241853,0.023525132096054117,0.1749448057963588,0.059809972748369154,0.33575821694729874,0.10686569745055628,0.5423651935439319,0.36316237662664064,0.8414800441097477,0.3883315211803014,0.46293907679792917,0.516806823690006,0.9069273102921384,0.3603521425257841,0.17461338599727572,0.41712936836586495,0.9296656486803113,0.618658343996893,0.3584680926551765,0.4832558248925106,0.5696478454877195,0.10375232135464477,1.0234299840610106,0.9257132027667062,0.47831855248014066,0.4273472155677011,0.32375762911113104,0.18447836311509158,0.4249278160084219,0.6056853782054927,0.7135610167164422,0.9935625626193507,0.3681609345847505,0.5708575404139005,0.0901732478433731,0.07880401679560277,0.8746462298561773,0.05856855893382555,0.051587890033609085,-0.21903562416237332,0.8448746828244226,0.8648013059635675,-0.6295538427161174,0.040007266695466163,-0.547492644837553,0.03517681597121531,-0.6257709302731123,-1.3084267038263275,-1.1608994653337699,0.05269778261010349,0.9253332616577306,-1.6408799395070108,0.04531356606580009,0.22684671805408177,0.9393082192371636
45168044,-0.1585129089989918,-0.18397939831115642,-0.20225989721618584,-0.20225980411324798,-0.005615357056029417,0.15468546886806628,0.17831121993098822,0.02610872920334859,0.19382190502627114,0.10529831114682887,0.18130984349891235,0.10571669356172071,0.29511190703022583,0.15638667026504754,0.4342189377485715,0.14087093069820614,0.501973586296895,0.1890726215844116,0.13852119155939946,0.20081784792418997,0.45664630443019605,0.10171672347361166,0.037018163439308804,0.22255046675817358,0.42871744016819946,0.3115181037813645,-0.06407994047557154,0.12348191975020514,0.20560250111469666,-0.13415345950961688,0.37683706405920747,0.31886225269319785,0.1765147429172377,0.12437564625374367,0.11542565767840543,0.05624135465605287,0.2459518762723582,0.30553227066031274,0.33456072583389374,0.3786842288180477,0.5562054298895025,0.0014659554089918342,-0.010852625299173734,-0.01583555008476742,0.39176908037759656,0.02516395274136524,0.019657840470462606,1.905325780630763,-0.5414548210753696,0.33673604233756865,-0.2827578738759716,0.09902363651203701,-0.5492692217058354,0.09573045372062208,0.7657679870078906,1.071783338413831,-0.6296679303399271,0.0838989099214347,0.32330861428491486,-1.3446532231984845,0.07706470749278863,-0.10770290959108281,0.35664534095110284
46224516,-0.1585123143255932,-0.18397940035636706,-0.20225989721618584,-0.20225980411324798,0.7242817783942769,0.7701009748177081,0.599923219700308,0.651070605080127,0.49948556561637275,0.6892031490888452,0.4861232116921157,0.9236833610782696,0.5475505533337249,1.1320655002869453,0.7158679027965158,1.5496403356658255,0.8236675921193417,1.4366418728586183,0.27196865538122794,0.4516441973756965,0.8103562865225398,0.20303918933578005,0.09698283117211441,0.04833729107185341,0.6659836519001395,0.12798574766242318,-0.17916105309109173,1.1836289853612967,1.1436507776348837,-0.07838753205771552,0.2530534039040141,0.33429895961309153,0.5067299235402363,0.3335446300505684,0.2569772437477642,0.17348661953288827,0.1602067492505178,0.274316347475614,1.20318354246503,0.39848539549978457,0.30100218626162484,-0.13376454602967397,0.7007602403360315,0.6956400640994354,-0.14662777500693777,0.5943198168667326,0.5919825580268248,-1.0842367930808425,0.5502326263665911,0.4930888799705939,1.0494140259575866,0.5828708682959381,1.2961420255190081,0.5807781201591568,-0.7751038887003419,-0.8141702731776146,0.7367476804401984,0.7198323014564217,0.44014358628179556,0.684429015897201,0.7185117140343008,-0.06823638291710712,0.4489012758863219
2130404,-0.1585141677556179,-0.1839797183866231,-0.20225994868011268,-0.20225995850503964,-0.6193606764134008,-0.36907309671427324,-0.460119162248861,-0.6496469261829472,-0.4448682071324104,-0.6454269514678186,-0.3739519946128198,-0.6670606109449176,-0.37887890585949596,-0.7163978248193161,-0.3186827933029997,-0.6626167518689513,-0.24165082594688053,-0.7416557167179674,-0.4118981296875964,-0.22009724800912356,-0.1933258798993993,-0.34500852030727963,-0.005145683690768539,-0.1406201499526037,-0.05847463866087315,-0.1437909382034364,0.058291353637993856,-0.6315238514718822,-0.5896125403764718,-0.1377233832228232,-0.12318994074146851,-0.17794520897310295,-0.2834278300933675,-0.4486826779112683,-0.3868541638580289,-0.10741349423452985,-0.21271650160637534,-0.2083298494570354,-0.6597231549174073,-0.19346527161740212,-0.38401704663425723,0.09636455290980994,-0.5653682105567299,-0.5702520447178062,0.7329496221598638,-0.6146233441186862,-0.6202750442234491,0.4038675759846576,-0.020609177391996702,0.3987305883535722,1.411785314545094,-0.595618811671161,0.26912788409996974,-0.6017261822798877,0.13753301894458203,0.160310582932423,-0.6232266082924129,-0.5903687523603192,-0.2316575027002683,-0.5018013276845393,-0.6007546462081543,-0.12192285310270395,-0.54685380469181
42642645,-0.15850755224855095,-0.18397842581349239,-0.20225963989655157,-0.202259340937873,0.3125843476240838,0.42647608701812834,0.5130563253159874,0.524007333600428,0.605668861418745,0.42551463727365174,0.5716312094969455,0.4932897987415149,0.5633013767212623,0.5383534950483114,0.7748062000219651,0.8084526462918737,0.9437476120365983,0.9011985465556277,0.5546483400673634,0.5217114361865449,1.1251717874042364,0.6133217277050588,0.4966417372514388,0.4977422307167878,1.1350636519477983,0.8580105903843381,0.2869583210118838,0.9938673397463308,1.0121427977077369,-0.02254326468592154,0.8916896716088755,1.0366429514926379,0.47671036166541825,0.5362444700186253,0.584600672795393,0.4733169583585454,0.5154365611981423,0.8442070476680624,0.906144011680859,0.902894062550345,0.32226912323061463,0.4593516883504392,0.35434877538146,0.35782085403410735,0.505629407724755,0.5447262803720263,0.5507074426170009,0.5082719537388434,0.03502703431455165,-0.7874203194780173,1.4748366446107988,0.492925789713666,2.048294276003825,0.49229101372689577,0.3937458905136538,0.7577319383648292,-0.8907267594792323,0.4967814756855745,1.0454136495434134,-0.4850246586929026,0.49664953420116953,0.0024395328492230087,0.30378216928264706
9927531,-0.1585151554387232,-0.18397994438239992,-0.20226000014403953,-0.20226006143290073,-0.5547082597883296,-0.49180737043515926,-0.5856867812597786,-0.6413193982437673,-0.636616873825973,-0.6215182035561782,-0.5923943451320217,-0.5367374923431287,-0.5434252363053637,-0.6328331634753461,-0.5146031703981223,-0.6943893233077472,-0.5395851610886864,-0.7732600639071201,-0.7024233406703746,-0.571333614982047,-0.490044996547947,-0.704896149640018,-0.7196533638322999,-0.6932628427783298,-0.4726146131082627,-0.7623168848352375,-0.5888787966980099,-0.653339368162306,-0.6607092584364311,-0.4570470137118107,-0.8070774891542254,-0.786754966641336,-0.5734382403483063,-0.6945101434044437,-0.6990667347448807,-0.6960824283036409,-0.6849952171076232,-0.7550087093326565,-0.5372866664183744,-0.8000062720790265,-0.6951859138647396,-0.710273525847144,-0.5496952680291893,-0.5509764698565673,0.16441911480313962,-0.6339673342001765,-0.6352346671144397,0.2526610895706479,0.5229969225753857,0.6258936581285945,-0.2263308297425937,-0.6185084536289802,0.2774499919831642,-0.6164753021255238,0.009487163689646694,0.457502737592943,-0.11332721206781968,-0.5408354012284938,-0.7833782037966492,-1.1156184831677307,-0.5382555710700183,-0.5480391789727916,-0.1410821353037271
