epoch,train_loss,train_cls_loss,train_contrastive_loss,val_auc,val_aupr,val_f1,val_acc
1,0.6890263557434082,0.6890263557434082,0.0,0.5529468975506623,0.4545740008280871,0.5783555507659912,0.4072551131248474
2,0.6857512593269348,0.6857512593269348,0.0,0.5644646674262654,0.4599201732025946,0.5794268250465393,0.42205774784088135
3,0.658993661403656,0.658993661403656,0.0,0.5698952431118205,0.4659913245922787,0.5796267986297607,0.4257127046585083
4,0.6491844654083252,0.6491844654083252,0.0,0.5734339208361645,0.47016424717236177,0.5804200172424316,0.4176717698574066
5,0.6287379264831543,0.6287379264831543,0.0,0.5735671545489962,0.4721947255336928,0.5816563963890076,0.42443346977233887
6,0.608228325843811,0.608228325843811,0.0,0.5763517062755967,0.4741219035745179,0.5822667479515076,0.42443346977233887
7,0.5843021869659424,0.5843021869659424,0.0,0.5804454466163256,0.4771513147796536,0.5828754901885986,0.43110379576683044
8,0.5527894496917725,0.5527894496917725,0.0,0.5836069315855525,0.478989477793323,0.5833333134651184,0.42799708247184753
9,0.5268352627754211,0.5268352627754211,0.0,0.5868685018721058,0.48107715236819826,0.5840409994125366,0.4360380172729492
10,0.4998500943183899,0.4998500943183899,0.0,0.5897718238153783,0.4836598517831395,0.5847777128219604,0.4461805522441864
11,0.5114361643791199,0.47867244482040405,6.55274772644043,0.593904629436405,0.4875168048917994,0.5861785411834717,0.44846490025520325
12,0.49434414505958557,0.46626347303390503,5.616131782531738,0.5972020297475362,0.4928618933793333,0.5853859186172485,0.44782528281211853
13,0.48733434081077576,0.45989349484443665,5.488168716430664,0.6046047273556581,0.49842564301549624,0.5872763991355896,0.45403873920440674
14,0.48799920082092285,0.4607648551464081,5.446870803833008,0.6090838610462166,0.5029524361186299,0.5871900916099548,0.45230263471603394
15,0.4835304319858551,0.45634064078330994,5.437957763671875,0.6176023239585773,0.5178297109843613,0.5886151194572449,0.46445539593696594
16,0.4715081453323364,0.44433650374412537,5.434327125549316,0.6251415770394144,0.5223269267253785,0.5913597345352173,0.4840095043182373
17,0.4692921042442322,0.44216299057006836,5.4258222579956055,0.6411144151472528,0.5375615052769322,0.5956413149833679,0.4829130172729492
18,0.45312732458114624,0.4260252118110657,5.420422554016113,0.6418679529166833,0.5464910120892579,0.5929197072982788,0.5030153393745422
19,0.4540518522262573,0.4269600808620453,5.418354034423828,0.6325434788092308,0.5420643669023327,0.586712658405304,0.47478070855140686
20,0.44150814414024353,0.41443678736686707,5.414272308349609,0.630530717230588,0.5435315349231897,0.582902729511261,0.4837353825569153
21,0.44636908173561096,0.4193207621574402,5.409662246704102,0.6322429806455931,0.5504628263360019,0.5806166529655457,0.4792580306529999
22,0.4381158649921417,0.41109588742256165,5.403996467590332,0.6421578802715247,0.5641377972156802,0.5855262875556946,0.5279605388641357
23,0.4321979582309723,0.40520694851875305,5.398200988769531,0.6559171633360892,0.5742847084459586,0.5948290228843689,0.5475146174430847
24,0.43362733721733093,0.40668752789497375,5.387960433959961,0.6617820591264263,0.5752389571931587,0.5969309210777283,0.5679824352264404
25,0.4297233819961548,0.4028445780277252,5.375761032104492,0.6666989903891452,0.5835275357463907,0.5992060303688049,0.566429078578949
