fold,best_val_auc,test_auc,test_aupr,test_f1,test_acc,checkpoint,history_csv,predictions_npz
1,0.9292371616674412,0.9267446245891677,0.9031500247798544,0.817236602306366,0.8442211151123047,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_3omics_gmutation_et_pathway_20260316_183802/fold_1_best.pt,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_3omics_gmutation_et_pathway_20260316_183802/fold_1_history.csv,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_3omics_gmutation_et_pathway_20260316_183802/fold_1_test_predictions.npz
2,0.9260031619693926,0.9269023176461584,0.9000420340916909,0.8197569847106934,0.8441226482391357,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_3omics_gmutation_et_pathway_20260316_183802/fold_2_best.pt,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_3omics_gmutation_et_pathway_20260316_183802/fold_2_history.csv,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_3omics_gmutation_et_pathway_20260316_183802/fold_2_test_predictions.npz
3,0.928463768980117,0.9265983600129936,0.8992661454761953,0.8163574934005737,0.8453104496002197,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_3omics_gmutation_et_pathway_20260316_183802/fold_3_best.pt,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_3omics_gmutation_et_pathway_20260316_183802/fold_3_history.csv,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_3omics_gmutation_et_pathway_20260316_183802/fold_3_test_predictions.npz
4,0.927275874805082,0.9286911161121938,0.9022466027051944,0.8211709856987,0.8459500074386597,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_3omics_gmutation_et_pathway_20260316_183802/fold_4_best.pt,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_3omics_gmutation_et_pathway_20260316_183802/fold_4_history.csv,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_3omics_gmutation_et_pathway_20260316_183802/fold_4_test_predictions.npz
5,0.9256402331759804,0.9255486334413124,0.9010401496793652,0.8180991411209106,0.8446251749992371,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_3omics_gmutation_et_pathway_20260316_183802/fold_5_best.pt,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_3omics_gmutation_et_pathway_20260316_183802/fold_5_history.csv,/content/drive/MyDrive/CDRP models testing/scalable model/outputs/scalable_3omics_gmutation_et_pathway_20260316_183802/fold_5_test_predictions.npz
