epoch,train_loss,train_cls_loss,train_contrastive_loss,val_auc,val_aupr,val_f1,val_acc
1,0.7168111205101013,0.7168111205101013,0.0,0.5245529777932915,0.42768599716479094,0.5774996876716614,0.4077119827270508
2,0.673902153968811,0.673902153968811,0.0,0.5655042323227286,0.4639885773658998,0.5768190622329712,0.4138340651988983
3,0.6785185933113098,0.6785185933113098,0.0,0.5821689770951763,0.48384517623562584,0.579321026802063,0.453125
4,0.6599240899085999,0.6599240899085999,0.0,0.5885733692640981,0.4887913511263243,0.5814910531044006,0.4516630172729492
5,0.652441680431366,0.652441680431366,0.0,0.5918195698004276,0.4929215452792337,0.5807340145111084,0.44362208247184753
6,0.6377701163291931,0.6377701163291931,0.0,0.5963284028955154,0.49535861723624747,0.5838020443916321,0.4590643346309662
7,0.6189600229263306,0.6189600229263306,0.0,0.6001116603226843,0.49735690945451927,0.5845237374305725,0.4392361044883728
8,0.6031486988067627,0.6031486988067627,0.0,0.6033094499019315,0.5032510070586416,0.5846678018569946,0.4430738389492035
9,0.5841162204742432,0.5841162204742432,0.0,0.6034532629954679,0.5043760182137831,0.5840070843696594,0.44051533937454224
10,0.5679333806037903,0.5679333806037903,0.0,0.6033084110401915,0.5050345253680403,0.5848599076271057,0.4367690086364746
11,0.5889246463775635,0.5548137426376343,6.822175979614258,0.6056237395144222,0.5093183226170329,0.5841379165649414,0.4490131437778473
12,0.5682691931724548,0.5400250554084778,5.648822784423828,0.608697592888091,0.5148569373407553,0.5844933390617371,0.4544956088066101
13,0.5495156049728394,0.5220372676849365,5.495669364929199,0.6132549581407977,0.5189255539015559,0.5852257013320923,0.45924708247184753
14,0.5378361940383911,0.5105871558189392,5.449801921844482,0.6164759316512085,0.5203652489191551,0.5863348841667175,0.4805372953414917
15,0.5204846858978271,0.4933139979839325,5.434132099151611,0.6208612267710516,0.5249488624878609,0.5884709358215332,0.4931469261646271
16,0.5007529258728027,0.4736245274543762,5.425684928894043,0.6272874696652372,0.5319597054660525,0.5905448198318481,0.49113669991493225
17,0.48187077045440674,0.4547697901725769,5.420196533203125,0.631384480652239,0.5381456883348151,0.5911708474159241,0.49396929144859314
18,0.4752017855644226,0.44810912013053894,5.41853141784668,0.6372778740456324,0.54784702822209,0.5914945602416992,0.4812682867050171
19,0.46469646692276,0.437618225812912,5.415651321411133,0.6394944933402038,0.5459760511201595,0.5929401516914368,0.4847404956817627
20,0.4649578332901001,0.43788662552833557,5.414244651794434,0.646441379109737,0.5558149631820037,0.5929466485977173,0.4863852262496948
21,0.4620042145252228,0.43496668338775635,5.407504081726074,0.6525119850016068,0.5691844248788436,0.5934930443763733,0.4805372953414917
22,0.4449152648448944,0.41794705390930176,5.393642425537109,0.6628609178828275,0.583175757732737,0.5962957143783569,0.5100511908531189
23,0.44191333651542664,0.4149566888809204,5.391327381134033,0.6826540562702924,0.6080160007929241,0.6065676212310791,0.5402047038078308
24,0.4373040497303009,0.4103652536869049,5.387759208679199,0.7016595816296001,0.6160529343732787,0.6167844533920288,0.5689875483512878
25,0.43439364433288574,0.40751147270202637,5.376436710357666,0.7222950637445563,0.6395601573257668,0.6257160305976868,0.6119334697723389
