fold,best_val_auc,auc,aupr,f1,acc
1,0.65908751574349,0.44796394969434267,0.3468074340867788,0.5176998449407806,0.38378856853818916
2,0.703006600023006,0.601790297739581,0.5541329831254994,0.6019195879908702,0.43136599230897843
3,0.6291620494687913,0.47023966093864283,0.3997876814640249,0.573002080528699,0.4015950604579367
4,0.562936966662392,0.5585766274403494,0.4919306811105417,0.5972357292311319,0.42580455423913954
5,0.6201077917641495,0.5330221397351524,0.4982180826291091,0.6094010239960521,0.4386027130064722
