fold,best_val_auc,auc,aupr,f1,acc
1,0.8401832025606164,0.8339905026631268,0.4842193141185157,0.4608294930875576,0.8642965204236006
2,0.8293552509003802,0.8300423263091505,0.4696723272532137,0.4727818259751393,0.875945537065053
3,0.8235980610218311,0.8324101369348258,0.4837427705637541,0.47032272624689686,0.8816380049422563
4,0.8362698160724953,0.8276773623569773,0.467764463613816,0.4616818944620548,0.8544051641535125
5,0.8262298931168937,0.8337528305496237,0.4818309710591099,0.47110141766630315,0.8777043723838822
