fold,best_val_auc,auc,aupr,f1,acc
1,0.6469097040525612,0.5490145480176167,0.13085758662172767,0.20118845500848898,0.5432038834951456
2,0.6128150433864187,0.6008368240281309,0.14547396879516256,0.26331236897274635,0.5888134799906389
3,0.6270274958799549,0.4829422690572761,0.13184510224796547,0.2357397504456328,0.13602015113350127
4,0.6285381479324402,0.6345503967087863,0.14364956189215666,0.25948930296756384,0.7160624503836994
5,0.5701911589008364,0.5975478210844241,0.12289962226350226,0.2388758782201405,0.6417745935519427
