fold,best_val_auc,auc,aupr,f1,acc
1,0.6402107673475583,0.5710073318457125,0.41703573849287306,0.5346840659340659,0.4383419689119171
2,0.6837791010420706,0.5992482449836936,0.5601401000818489,0.6248861911987861,0.47925005266484094
3,0.5988030318190916,0.5769862280431253,0.4461897879129717,0.566708621774701,0.40913966959879855
4,0.6505246753246753,0.6018954529781858,0.5504657692361601,0.598022813688213,0.4266811279826464
5,0.6146611743686458,0.556155167016536,0.5437884615341172,0.6103975535168196,0.4463276836158192
