fold,best_val_auc,auc,aupr,f1,acc
1,0.6012460169184639,0.5214149924045614,0.10886878434912221,0.19549587650666103,0.24979048558047817
2,0.6104894339539715,0.5433451549650622,0.15859157060232767,0.21569454698871426,0.2644542262228597
3,0.6261427958618054,0.518199488517525,0.12250534532558173,0.2073254333561845,0.17710451403009353
4,0.6364069516056144,0.5442748642805881,0.1199691289101121,0.18828271196199797,0.41928839915555327
5,0.6336200276455229,0.5788517179454873,0.14229180850384107,0.21596630021576083,0.6096675191815857
