fold,best_val_auc,auc,aupr,f1,acc
1,0.9299098326893456,0.9344440207450487,0.9139543774003305,0.8298636037329504,0.8586039376118639
2,0.9332874656668056,0.9357961979496101,0.9136676299207906,0.8312945973496432,0.8589448563879656
3,0.9303219280634947,0.9323514600251016,0.9109361819476927,0.8264758497316637,0.8511889542316543
4,0.9321384838027384,0.9312847585197573,0.9092138707464439,0.8231159311141236,0.8498678939742607
5,0.9328862906545903,0.9334774068285489,0.9137281807028386,0.8280608052588332,0.857325492201483
